TARGET	POS	INDEX	TEXT	MEAN
manner	N	4	Dress in a professional manner for your interview . 	2.00
manner	N	1	The manner in which the photo collage will be displayed should be considered when deciding on its size and shape . 	2.32
movie	N	3	Simply watching a movie or listening to music together are relaxing ways to enjoy each others company . 	5.90
movie	N	3	Watch a funny movie or television show . 	6.10
offend	V	4	Do not insult or offend anyone . 	3.23
offend	V	17	Nobody wants to hang out with someone who is so serious that they are constantly afraid of offending them . 	2.89
office	N	4	Each state has an office of voter affairs . 	4.19
office	N	6	When in doubt call doctor 's office or home health nurse for help . 	5.87
part	N	8	Many people see their hair as an integral part of their identity . 	2.94
part	N	3	Mistakes are a part of life . 	1.68
pizza	N	6	If you are making two smaller pizzas , cut the dough ball in half . 	7.00
pizza	N	6	If you want to cook large pizzas , the floor of the oven must be large as well . 	6.61
pollute	V	6	Cars play a big part in polluting the air . 	5.06
pollute	V	4	Producing too much trash pollutes the environment . 	5.14
quality	N	2	Focus on quality , not quantity when helping others . 	1.77
quality	N	8	The file type you pick will affect the quality of the image after it is saved . 	3.13
secure	V	4	Use bobby pins to secure the base of the bun to the head . 	5.20
secure	V	4	You might need to secure a small loan or have savings to start your business . 	3.09
soothe	V	5	Oatmeal cleanses , moisturizes , soothes irritation and relieves itchiness . 	4.03
soothe	V	9	Take a few slow , deep breaths to help soothe your nerves . 	3.46
space	N	5	Every relationship can benefit from space and time to miss each other . 	2.23
space	N	7	Ideally , this drive should have enough space to fit all of the data . 	3.74
street	N	9	Hold the person 's hand when you cross the street . 	6.90
street	N	7	Leave the office to walk across the street to get coffee . 	6.90
suffocate	V	14	Part of loving life is to not be ruled by fear , which will suffocate you in unhappiness . 	2.40
suffocate	V	6	There is also a potential to suffocate from too much carbon monoxide . 	5.74
travel	V	6	Talk about the places you 've traveled , the customs back home , or just stories from your life . 	4.66
travel	V	7	Your voice , like any sound , travels through various mediums in the form of sound waves . 	4.09
water	N	6	If the roses are out of water even for a few minutes , they 'll suffer for it . 	6.69
water	N	5	Rinse your face with warm water and pat it dry . 	6.91
win	V	4	Staying mentally strong means winning half the battle to becoming a better person . 	2.34
win	V	7	The person who has the highest score wins the game . 	4.60
woman	N	7	For the most part , men and women wear the same types of shoes . 	6.29
woman	N	3	Look at the woman whom you are listening to for as long as you or she is speaking . 	6.57
