TARGET	POS	INDEX	TEXT	MEAN
elemento	N	3	Puoi usare degli elementi fisici , come le costruzioni per bambini , per analizzare le strutture complicate . 	5.77
festa	N	2	Durante la festa , assicurati di parlare con tutti . 	5.65
festa	N	4	La torta a una festa di compleanno va bene , ma torte e gelati tutti i giorni no. 	5.48
fiorire	V	4	La pianta continua a fiorire dalla primavera per tutta l' estate fino a inizio autunno . 	6.16
fiorire	V	3	Una persona che fiorisce tardi è una pensatrice profonda e meno frettolosa rispetto alla massa . 	1.97
gente	N	2	Pensa alla gente che conosci molto bene e mettila a confronto con il nuovo arrivato . 	5.52
gente	N	14	Quando eri più giovane , probabilmente ti piacevano i luoghi chiassosi e pieni di gente . 	5.84
giovane	N	5	In passato , solo i giovani e gli studenti cercavano lavori estivi , ma la situazione ora è cambiata . 	5.35
giovane	N	6	Quello dei romanzi d' amore per giovani è un mercato in espansione . 	4.77
idea	N	3	Devi avere le idee chiare sulla politica . 	1.84
idea	N	6	Quando credi di avere annotato sufficienti idee , leggile due volte . 	2.29
incoraggiare	V	5	Dovrebbe essere un premio che incoraggia le persone a condividere l’ informazione con gli amici . 	2.58
incoraggiare	V	7	Per creare un ambiente più positivo devi incoraggiare e sostenere le persone con cui lavori . 	3.29
inquinare	V	9	Se hai delle prove fisiche , non danneggiarle o inquinarle : consegnale al tuo avvocato o portale in tribunale . 	4.42
inquinare	V	16	Verso la fine del processo di distillazione si formano elementi chimici di scarto che non devono inquinare la vodka . 	4.94
investire	V	5	Ricorda che l' industria cinematografica investe molto impegno per rendere i suoi film credibili . 	2.87
investire	V	8	Se la tua macchina è piccola , potresti investire in barre portapacchi o portapacchi veri e propri. 	3.39
lettera	N	2	Anche la lettera di presentazione dovrebbe essere convertita in un documento di solo testo . 	6.10
lettera	N	1	Una lettera di intenti viene inviata da un potenziale acquirente nelle prime fasi della trattativa . 	5.84
luce	N	8	Durante l' inverno ci sono meno ore di luce e si trascorre più tempo al chiuso . 	5.84
luce	N	3	Troppa esposizione alla luce del sole può essere dannosa per la pelle . 	6.56
mangiare	V	10	Questa pianta ottiene la maggior parte delle sue sostanze nutritive mangiando insetti e ragni . 	6.09
mangiare	V	5	Riduci i carboidrati raffinati e mangia più proteine magre e verdure . 	6.59
masturbare	V	8	Non mettere tuo figlio in punizione perché si masturba . 	6.25
masturbare	V	6	Organizza un programma per evitare di masturbarti in certi momenti della giornata . 	5.72
moglie	N	3	Lascia che tua moglie senta quanto la ami , illuminandoti quando la vedi. 	6.00
moglie	N	6	Non è semplice essere una buona moglie , anche se hai un marito praticamente perfetto . 	5.13
motivo	N	2	Comprendere il motivo per cui la gente si comporta in maniera sgarbata ti permetterà di ampliare la prospettiva sul problema . 	2.88
motivo	N	4	Quando c' è un motivo di preoccupazione , l' ansia è una risposta a uno scenario reale o immaginario . 	2.97
nutrire	V	6	i gattini appena nati iniziano a nutrirsi con il latte materno . 	6.22
nutrire	V	8	La maschera al miele ha lo scopo di nutrire e idratare la pelle e non di detergerla . 	4.72
offendere	V	11	Ci sono pettegolezzi innocui e altri che invece possono ferire e offendere qualcuno . 	3.69
offendere	V	5	Durante le discussioni evita di offendere il partner. 	4.03
padre	N	6	Fissa un incontro con il tuo padre spirituale . 	3.44
padre	N	9	Vai a fare compere da sola , così tuo padre e tua madre non sapranno cosa stai acquistando . 	6.28
pena	N	12	Non puoi fare due bracciate prendendo il respiro solo una volta , pena la squalifica . 	2.56
pena	N	5	Tutti cerchiamo di evitare le pene d' amore . 	2.66
persona	N	2	Decidi quante persone vuoi che facciano parte del tuo club. 	5.91
persona	N	14	Una porzione di petto di tacchino è di circa 125 - 250 g a persona . 	4.94
porta	N	7	Connetti l' altro capo del cavo alla porta di ingresso del preamplificatore . 	6.16
porta	N	14	Se hai problemi di connessione con qualche programma , potresti dover aprire manualmente alcune porte . 	4.03
prestigio	N	12	Le aziende piccole offrono più opportunità , mentre quelle grandi danno più prestigio al tuo curriculum. 	2.81
prestigio	N	5	Per un leader , il prestigio o il benessere sono un effetto collaterale , piuttosto che una motivazione . 	2.41
salutare	V	1	Inizia salutando il ragazzo con un cenno quando lo incontri in classe . 	6.38
salutare	V	6	Sorridi mentre parli o mentre vi salutate . 	5.69
soffocare	V	3	Le erbacce possono soffocare i fagiolini , impedendo loro di emergere in superficie . 	5.00
soffocare	V	10	Sappi soltanto che sta cercando di aiutarti , pertanto non soffocare le tue emozioni . 	2.28
spazio	N	6	In questo modo non dovrai creare spazio sul tuo cellulare per il file di aggiornamento . 	4.16
spazio	N	16	Poni sotto gli scaffali una scrivania o un tavolino da toeletta per sfruttare al meglio lo spazio verticale . 	5.44
spirito	N	9	Mentre alcuni avvocati rifiuteranno l' offerta , quelli con spirito imprenditoriale saranno deliziati dall' idea . 	1.78
spirito	N	6	Se stai cercando di contattare lo spirito di una persona defunta hai bisogno di usare un amuleto per attirarlo . 	1.97
strada	N	10	Accettare di avere un problema è il primo passo sulla strada della ripresa . 	2.81
strada	N	1	Percorri strade in salita con la bici. 	6.59
testa	N	3	Assicurati che la testa sia sollevata più in alto rispetto al resto del corpo . 	6.44
testa	N	7	Tu non sei i pensieri nella tua testa . 	4.75
ufficio	N	4	Le migliori sedie da ufficio dovrebbero offrire un supporto lombare . 	5.59
ufficio	N	3	Recati presso l' ufficio del Tribunale Distrettuale e consegna i documenti al cancelliere . 	6.25
uomo	N	3	Non sempre l' uomo della strada ha accesso a tutte le informazioni pertinenti . 	4.47
uomo	N	14	Rafforza la stretta afferrandogli l' avambraccio con l' altra mano , proprio come un uomo d' affari . 	4.53
verità	N	6	Hai l' obbligo di dire la verità e di essere un modello di comportamento per gli altri . 	2.91
verità	N	8	In un modo o nell' altro , la verità viene sempre a galla . 	2.53
viaggio	N	2	Organizza dei viaggi nel fine settimana quando entrambi avete del tempo libero . 	5.03
viaggio	N	6	Pesa le tue valigie prima del viaggio per evitare costosi supplementi . 	4.84
vista	N	6	è molto importante non perdere di vista la propria felicità . 	2.22
vista	N	9	i conigli hanno un ottimo udito e un' ottima vista e possono individuare i predatori facilmente . 	5.13
